Day,Close,Volume,Open,High,Low
1, $44.9628,229189449, $43.92, $45, $43.5586
2, $90.68,107948432, $90.3357, $90.7328, $89.1214
3, $71.24,79715744, $71.0721, $71.7143, $70.7886
4, $97.54,99942790, $97.97, $99.15, $95.18
5, $111.86,37622200, $110.93, $112.1, $110.49
6, $217.36,30280450, $221.16, $221.83, $217.27
7, $235.32,23040480, $236.39, $237.65, $234.88
8, $92.8275,137208791, $90.7671, $92.9, $90.1428
9, $71.5877,62449609, $71.5414, $71.79, $71.3186
10, $96.26,72017830, $95.55, $97.72, $95.41
11, $111.04,38794930, $111.78, $112, $110.53
12, $159.88,24093300, $157.9, $160, $157.65
13, $222.15,28802550, $218.93, $222.99, $216.7627
14, $234.37,19286690, $233.37, $235.24, $233.2
15, $59.9986,171172941, $60.2486, $60.9571, $59.42
16, $92.0876,97195099, $92.6957, $93.2557, $92
17, $72.0714,63116954, $71.4257, $72.1114, $71.3828
18, $97.67,67723910, $97.5, $99, $96.81
19, $117.55,23583810, $117.33, $117.84, $116.78
20, $160.47,18969700, $159.78, $160.87, $159.23
21, $221.19,22692880, $222.3, $222.64, $219.34
22, $235.28,17272900, $235.09, $236.15, $233.52
23, $45.4286,267603430, $45.4957, $45.5714, $44.8986
24, $60.32,213231124, $60.2514, $60.6867, $59.4271
25, $90.3771,119025656, $91.37, $91.7228, $90
26, $72.6985,72195292, $72.2843, $72.7514, $72.2443
27, $117.47,24308210, $118.18, $118.21, $117.45
28, $159.76,16252850, $160.42, $160.71, $159.6
29, $216.02,32389280, $217.86, $219.74, $213
30, $236.41,24377170, $234.59, $237.58, $234.29
31, $44.2128,307005952, $43.3428, $44.8243, $42.86
32, $56.9457,275674643, $57.3357, $58.3456, $56.8286
33, $87.12,185618286, $90.15, $90.2528, $87.0885
34, $111.73,29723750, $110.8, $111.75, $110.11
35, $117.12,19977160, $117.25, $117.76, $113.8
36, $155.98,42357420, $156.75, $157.08, $155.02
37, $219.31,32874330, $218.06, $221.26, $217.43
38, $44.3614,179414674, $44.1428, $44.8928, $43.8386
39, $56.4728,137224191, $57.1428, $57.1928, $56.3157
40, $99.76,75705040, $98.315, $99.96, $98.22
41, $113.77,48929200, $111.34, $114.17, $110.82
42, $117.06,24100150, $116.86, $117.38, $116.33
43, $156.25,23907540, $156.61, $157.75, $155.96
44, $44.2171,136781721, $44.6228, $44.9628, $43.8286
45, $56.1243,154943506, $56.8714, $57.02, $55.8214
46, $74.4803,98700380, $73.11, $74.9, $73.0743
47, $102.47,93786680, $103.02, $103.02, $101.27
48, $113.76,42276880, $114, $115.58, $113.7
49, $116.6,22527690, $116.81, $116.91, $116.28
50, $240.51,22367480, $237.52, $240.99, $237.32
51, $43.9243,92488648, $44.1528, $44.2914, $43.7571
52, $90.5757,136374671, $87.4885, $90.7685, $87.2514
53, $74.2668,133200030, $75.2007, $75.4928, $72.5757
54, $102.99,68140010, $102.84, $104.11, $102.6
55, $115.5,41430660, $114.33, $115.5, $114.1
56, $220.65,28751540, $219.79, $223.36, $218.94
57, $239.96,22684000, $241.16, $242.2, $239.6218
58, $87.6222,176497913, $90.1428, $90.5571, $87.3857
59, $74.9943,78237833, $74.1428, $75.0957, $74.1428
60, $104.83,70760150, $104.08, $105.051, $103.63
61, $119.08,59251740, $116.7, $119.228, $116.33
62, $156.17,21888930, $156.89, $157.69, $155.5
63, $222.73,38681170, $215.83, $223.25, $214.7
64, $243.18,19932550, $242.1, $243.24, $241.22
65, $57.9671,125430938, $56.5971, $58.0714, $56.4857
66, $88.1185,139246492, $88.7771, $89.5071, $87.2343
67, $75.9871,96004539, $75, $76.0671, $74.6357
68, $105.22,46937880, $105.18, $105.49, $104.53
69, $117.65,23492650, $117.1, $117.74, $117
70, $157.1,17633730, $156.29, $157.42, $156.2
71, $215.09,39992120, $222.6, $224.23, $214.54
72, $243.58,17916260, $244.51, $244.8, $241.805
73, $44.12,96214749, $44.1557, $44.5143, $44.0628
